"fcc_unique_id","job_title","queried_salary","job_type","skill","company_id"
"1424_290a4498a64fc044","Data Scientist","120000-139999","data_scientist","['JavaScript', 'TensorFlow', 'Linux', 'TS/SCI Clearance', 'Machine Learning', 'CompTIA Security+', 'R', 'Technical Support', 'Tableau', '.Net', 'Java', 'C#', 'Python', 'Military Experience', 'Ember']","c_361"
"1425_1273e8bb91776b8e","Senior Data Scientist","120000-139999","data_scientist","['MATLAB', 'C/C++']","c_497"
"1426_6576e7250aa78c3c","Data Scientist - Public Sector Analytics, New Ventures","120000-139999","data_scientist","['Machine Learning', 'R', 'Scala', 'SQL', 'NoSQL', 'Python']","c_1277"
"1427_4e42ec53f4b93e02","Data Scientist: Medical VoC and Text Analytics Manager","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'Project Management', 'R', 'SAS', 'SQL', 'Natural Language Processing', 'Data Analysis', 'Python']","c_887"
"1428_22a86b559b3e662b","Senior Data Scientist","120000-139999","data_scientist","['Linux', 'R', 'Python']","c_305"
"1429_867d82af62a0e5c1","Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop', 'R', 'SAS', 'Data Science', 'Python', 'SQL']","c_1786"
"1430_4e041af1d0af1bc8","Data Scientist, Mid","120000-139999","data_scientist","['Pig', 'Hive', 'Machine Learning', 'R', 'C/C++', 'Excel', 'Splunk', 'Big Data', 'STATA', 'Natural Language Processing', 'SPSS', 'MATLAB', 'Statistical Software', 'Data Mining', 'Scripting', 'Hadoop', 'SAS', 'HBase', 'Tableau', 'Microsoft Access']","c_323"
"1431_d20278fc46c90d65","Data Scientist - Decision Sciences Personal Valuation team","120000-139999","data_scientist","['Hive', 'AI', 'Spark', 'Machine Learning', 'Hadoop', 'Scala', 'Python', 'SQL']","c_734"
"1432_12e41f7040f168e8","Sr. Data Scientist (Marketing Machine Learning)","120000-139999","data_scientist","['Linux', 'Google AdWords', 'Hive', 'Machine Learning', 'Spark', 'Data Warehouse', 'Git', 'PostgreSQL', 'Python', 'Attribution Modeling', 'AWS']","c_921"
"1433_734cb5a01ee60f80","Senior Data Scientist","120000-139999","data_scientist","['Machine Learning', 'Scripting', 'Hadoop', 'Azure', 'R', 'C/C++', 'SQL', 'Big Data', 'Spark', 'Python']","c_1310"
"1434_7077d7e88049c02a","Lead Data Scientist","120000-139999","data_scientist","['Machine Learning', 'Statisical Analysis']","c_64"
"1435_53aaa6a330569a86","Senior Data Scientist","120000-139999","data_scientist","['Machine Learning', 'R', 'SQL', 'Tableau', 'Natural Language Processing', 'Data Science', 'Python']","c_766"
"1436_9e215d88a6b33622","Senior Data Scientist-XSP","120000-139999","data_scientist","['AI', 'Machine Learning', 'Hadoop', 'Marketing', 'Kafka', 'Digital Marketing', 'Big Data', 'Martech', 'Spark', 'Git', 'Unit Testing', 'Python']","c_617"
"1437_5d3ed74ca4598964","Sr. Data Scientist","120000-139999","data_scientist","['Linux', 'Machine Learning', 'Hadoop', 'R', 'SQL', 'Tableau', 'Natural Language Processing', 'Git', 'NoSQL', 'Python', 'AWS']","c_1717"
"1438_898cb537778fecc3","SI Expert – Data Scientist","120000-139999","data_scientist","['TS/SCI Clearance', 'Design Experience']","c_2081"
